point_no,atoll,lon,lat,sla_offset,shore_normal_angle,threshold_1,threshold_2
1,Rarotonga,200.2232657,-21.174637,0.649177903,0,1.99110654631171,2.80343681587828
2,Rarotonga,200.312954,-21.247675,0.649177903,90,1.77307463831042,2.06355241480581
3,Rarotonga,200.2259885,-21.305003,0.649177903,180,1.94274929450032,2.14707435366007
4,Rarotonga,200.1258545,-21.232086,0.649177903,270,1.81824176721101,2.38871218735044
1,Aitutaki,200.2262731,-18.759403,0.703381043,0,2.1448784978248,2.83204643623448
2,Aitutaki,200.3474711,-18.903232,0.703381043,90,1.64882428778927,1.92772189102812
3,Aitutaki,200.2200374,-19.009047,0.703381043,180,1.83177924645159,1.99708515119177
4,Aitutaki,200.0839303,-18.893209,0.703381043,270,1.8118249944621,2.25725846999927
1,Mangaia,202.0776858,-21.806736,0.62771313,0,2.09478120722941,2.88523884822551
2,Mangaia,202.2331355,-21.937812,0.62771313,90,1.75485134171657,2.08675744789493
3,Mangaia,202.08188,-22.042838,0.62771313,180,2.01017992115484,2.23586750983715
4,Mangaia,201.9349443,-21.927642,0.62771313,270,1.74136787003572,2.05610477762456
1,NgaPuToru,202.2942517,-19.661446,0.686452106,0,2.2618857505857,2.92443026506723
2,NgaPuToru,202.9436633,-20.034461,0.686452106,90,1.60930076852543,1.82327098226429
3,NgaPuToru,202.3160077,-20.394493,0.686452106,180,1.90848782141109,2.1772113630797
4,NgaPuToru,201.4730964,-19.944219,0.686452106,270,1.67327008239809,2.18845046571
1,Palmerston,196.8321267,-17.939125,0.692902471,0,2.28210479384969,2.98809185138614
2,Palmerston,196.9376208,-18.03853,0.692902471,90,1.72277876694781,2.28713092948821
3,Palmerston,196.8451942,-18.150716,0.692902471,180,1.83329636415782,1.97761682052031
4,Palmerston,196.7298409,-18.031626,0.692902471,270,1.99341347828382,2.69684288003852
1,PukaPuka,194.1609658,-10.633848,0.698483321,0,1.61957072758663,2.11254063092412
2,PukaPuka,194.8390043,-11.55666,0.698483321,90,1.38267278817653,1.52709242853537
3,PukaPuka,194.1404764,-11.752522,0.698483321,180,1.66772860814894,1.79849660450788
4,PukaPuka,193.737531,-10.918696,0.698483321,270,1.75009543140769,2.12127735099245
1,Manihiki,198.9576846,-9.847863,0.700998853,0,1.37935010875556,1.57514176934715
2,Manihiki,199.3302755,-10.436459,0.700998853,90,1.18341673318896,1.30930440036133
3,Manihiki,199.0083817,-10.732845,0.700998853,180,1.50294100896226,1.66551402159012
4,Manihiki,198.6133162,-10.395532,0.700998853,270,1.53588358311467,1.99223669638116
1,Penrhyn,202.0071844,-8.742628,0.706202993,0,1.30562901093258,1.56503304482801
2,Penrhyn,202.284739,-9.006222,0.706202993,90,1.14107048092903,1.26917640977179
3,Penrhyn,202.0424479,-9.240739,0.706202993,180,1.30725000128276,1.45293815292227
4,Penrhyn,201.7672906,-8.976963,0.706202993,270,1.40236261508897,1.65304067464363
